,AZ_A10,AZ_A11,AZ_A12,AZ_A2,AZ_A5,AZ_A6,AZ_A7,AZ_A8,AZ_A9,AZ_B1,AZ_B10,AZ_B11,AZ_B12,AZ_B2,AZ_B3,AZ_B4,AZ_B5,AZ_B8,AZ_B9,AZ_C1,AZ_C10,AZ_C11,AZ_C2,AZ_C3,AZ_C4,AZ_C5,AZ_C8,AZ_C9,AZ_D12,AZ_D2,AZ_D3,AZ_D4,AZ_D5,AZ_D6,AZ_D7,AZ_D8,AZ_D9,AZ_E1,AZ_E12,AZ_E2,AZ_E3,AZ_E4,AZ_E5,AZ_E7,AZ_E8,AZ_E9,AZ_F1,AZ_F11,AZ_F2,AZ_F3,AZ_F4,AZ_F5,AZ_F6,AZ_F7,AZ_F8,AZ_F9,AZ_G1,AZ_G10,AZ_G2,AZ_G3,AZ_G4,AZ_G5,AZ_G6,AZ_H1,AZ_H10,AZ_H11,AZ_H12,AZ_H2,AZ_H3,AZ_H4,AZ_H5,AZ_H6,AZ_H9
ABCC8,1222.29642807639,164.322939907384,4539.9398546703,2.59874584525508,39.8411665493566,230.949027956778,0,371.511308000948,270.482269887209,678.154918236244,632.619802375075,412.964907455896,0,331.554337093367,129.568664663464,0,249.624598555804,1.92486359133349,0,88.026490105089,551.165618344121,194.501977311607,710.495232360331,0,719.392472486943,1639.06697585595,861.809704470518,0,160.30868742602,1519.42970738316,914.39624570003,609.131866399917,558.276387544446,249.413145539906,894.849115099829,452.233807554445,0,1360.22236678692,20.1425195158634,186.671891714416,0,770.009940557119,0,1033.18334354074,503.718516647292,372.224436680813,2253.67975150311,3.46374326734902,892.441191493183,0,191.489196753212,1.53630834322972,0.71010597976695,376.969854204256,842.469467518017,0,0,2.28115718541702,2361.00445840162,289.747022044496,0,1944.50171112852,708.948292268673,181.211357354206,0.813569691600137,2.10840356952724,1137.87002110749,1029.82487255917,268.401789345262,0,534.855213248219,465.72641677857,16.945131663673
INS,194.742636150877,11.3326165453368,3.22668077801727,12.9937292262754,13.2803888497855,107.510754393673,7.53548270418332,75667.8166782471,1108.97730653756,46.7466011599741,13.7526043994581,18150.0297068304,0.408281583642607,27.9748971922528,15.0224538740248,93795.8676752851,1029.3638778159,4.49134837977815,32.0831595495524,129.594554876937,55976.5463796174,170.470844979671,16.4362724625944,4.5407738790469,117883.458419457,26.1901514118128,86.3179831186687,6.77953232074239,1.86405450495372,75367.9341242809,4.39613579663476,18.4585414060581,35.9405399706725,17853.213028169,91.152332221349,5.35187937934255,0,167169.357541349,3.73009620664136,115.180528930171,12.1441264932216,33.0172715705962,8.76741005311702,73409.1633808948,5.29433876356013,2.93090107622688,47704.9020857715,58.8836355449334,36866.9888435496,325.510237296963,31.7856561412213,13.8267750890675,5.6808478381356,31703.597133614,8.44345791499127,26.4642679454201,1.89947413058695,11.4057859270851,67918.9923324661,116.915465035498,7.41644448235072,1.64928050138127,102.361518135049,897.942845396961,7.32212722440123,68011.828144025,14.2233752638436,87763.9641392094,48.8003253355022,34.4605205507776,852.877231936349,10944.5707942964,101.670789982038
PDK4,426.142709694861,1801.88603070856,3.22668077801727,493.761710598465,39.8411665493566,256.167599975047,39.090316527951,4.01633846487511,0,7.24243116562979,10.3144532995936,8436.621431961,16751.7933768561,1290.9897000573,8474.22882389522,254.036355425087,1753.54528660916,118.699921465565,13627.703961048,5909.51170238831,4.15451471113659,253.077862370701,3036.22778581744,506.044022298227,0,121.129450279634,5666.84409807641,1.35590646414848,7.4562180198149,12.661914228193,6624.97664552858,3977.10572910529,0,1.83392018779343,12732.4245519918,1127.90857919644,0,137.993573442151,190.234906538709,14654.4054566445,0,14.1502592445412,2978.22175342806,8.85766491706695,16583.3816756885,8.79270322868063,0,3.46374326734902,1.87094589411569,26.040818983757,1862.17429393204,0,206.640840112183,172.958014441994,3297.63939679937,0,9160.21399475555,5566.02353241752,0,10383.4488367758,3307.73423912842,473.343503896425,0.541595334047878,5.40929424937928,121.22188404842,2.10840356952724,51.204150949837,11.4424985839908,40.6669377795852,9.84586301450788,477.033028032195,0,10212.2660159736
CD44,0,182.738441793557,0,0,1195.2349964807,1.32729326411941,420.10316075822,2.00816923243756,27.0482269887209,0,0,55.9500842359602,0,1.03610730341677,232.222099469301,0,92.9822693229502,2014.04893773195,0,488.057984027104,2.76967647409106,120.15566165968,0,31.2808867223231,0,171.872868640022,0.685063358084672,961.33768308127,0,0,0,414.607237736074,0,0,154.514319253262,10.7037587586851,0,0,0,31.7739390152197,4.04804216440718,0,0.674416157932078,0,198.915870688045,381.017139909494,0,0,0,0,235.679011388568,7.6815417161486,570.570154742745,0.393086396459078,0,1047.98501063864,334.307446983303,0,0,0,0,6.59712200552509,0,0,1803.6840062775,1.05420178476362,2.84467505276872,0,0,0,0,0,5.64837722122434
SOD2,0,0,119.387188786639,0,1235.07616303005,2.65458652823883,998.922425973302,0,0,1.31680566647814,225.198897041127,117.228747922964,167.803730877111,3.10832191025031,122.057437726452,0,60.1876930057271,3663.01541430764,3.05553900471928,0.489036056139383,128.789956045234,0,38.1022679814688,89.8064167189276,0,107.488746419315,7.5356969389314,961.33768308127,22.3686540594447,0,0,2.83977560093201,0,0,0,77.6022510004669,0,19.713367634593,0,352.161157418685,906.761444827209,48.3467190855159,196.929518116167,0,6.80700698172016,11.7236043049075,73.7128497810668,0,0,0,124.816844847235,685.193521080455,508.79093450302,5.50320955042709,65.671339338821,592.79960197741,5.69842239176084,415.170607745897,0,184.692546215497,133.496000682313,0,0,0,2027.41567146754,0,0,34.3274957519724,105.734038226922,0,0,7.76210694630951,0
TMEM176B,899.25276104964,444.805199404471,261.361143019399,1424.11272319978,13.2803888497855,1052.5435584467,48.9806375771916,313.274400260259,0,282.454815459562,706.540051022162,1047.36189432184,1474.30479853345,2042.16749503446,1086.62416355446,0,1173.27419506677,51.9713169660043,1112.21619771782,427.90654912196,184.183485527056,0,1268.58139279479,272.446432742814,101.467401032231,1035.60223707543,2038.0634903019,0,924.571034457048,493.814654899528,1811.20794821352,1114.61192336582,347.425219716501,5.50176056338028,2384.41161725358,396.039074071349,678.158092810779,0,1754.6372556041,806.2637025112,825.800601539066,1086.03239701854,1712.34262498955,429.596748477747,710.954062535217,1292.52737461605,0,616.546301588126,0,6.51020474593926,1016.3657366132,3.07261668645944,0.355052989883475,652.13033172561,938.161990554585,0,586.937506351367,1350.44505376687,0,1231.84845044648,248.450890158749,973.075495814951,512.349186009293,2.70464712468964,75.6619813188127,1.05420178476362,358.429056648859,0,81.3338755591704,0,766.143954112314,287.197957013452,1412.09430530609
NCOA4,156.939653839237,76.4951616810237,0,267.670822061273,0,5.30917305647766,17.8967714224354,0,0,310.766137288842,1.71907554993227,140.023226685763,30.6211187731955,183.390992704768,156.17092673205,28.2262617138986,2.31491126945104,236.75822173402,161.943567250122,0.489036056139383,260.34958856456,3.754864426865,119.536527000687,75.1750342197765,702.29122512196,446.869458464057,148.658748704374,159.99696276952,315.025211337179,206.811265727153,395.652221697128,56.7955120186403,225.227383816214,102.699530516432,137.840112139601,104.36164789718,0,394.26735269186,0,173.432750458074,488.463754505134,51.8842838966512,119.371659953978,241.687714165684,400.857077812409,84.9961312105794,0,0,392.898637764295,0,167.456139670825,0,0.71010597976695,155.662212997795,0,0,263.077167086292,61.5912440062595,0,221.969940864497,211.368667746995,0,378.575138499467,0,196.070295675633,0,0,0,0,1132.27424666841,0,0,0
PTPLAD1,353.973379827183,213.903137293233,0,259.874584525508,0,234.930907749136,34.3806398378364,413.682861882137,0,487.876499430152,123.773439595123,423.622066357984,261.300213531268,572.967338789474,81.9975607290522,0,232.64858257983,17.9653935191126,392.636762106427,272.393083269636,850.290677545956,94.6225835569981,563.315883490736,246.715380761548,61.5644905139381,353.021415905061,425.424345370582,120.675675309214,473.469844258246,649.978263713908,542.922770884393,860.4520070824,333.049003728232,359.448356807512,511.342351485616,255.552240363607,648.348945874041,118.280205807558,163.378213850892,199.911032970757,639.590661976335,779.443446720147,0,508.68304238013,420.52176464849,41.0326150671763,100.297811997189,0,29.935134305851,0,829.528099295289,0,0,448.904664756267,780.550776141415,561.042480442906,888.953893114691,0,286.52966728175,0,203.952223264645,616.830907516596,472.812726623798,21.6371769975171,10.5764059908018,157.07606592978,0,789.532402295365,0,0,20.2377648256083,147.480031979881,1242.64298866936
TPP1,466.236781843571,772.034502151072,1835.98136269183,522.347914896271,0,444.643243480004,124.335464619025,903.6761545969,216.385815909767,119.170912816272,373.039394335302,480.164214977393,164.53747820797,1515.82498489874,989.291181162344,28.2262617138986,875.808096942311,266.914417998245,736.384900137346,811.799853191376,516.544662417983,754.727749799866,357.115374414551,136.727746802412,265.639375736066,1181.28495430364,261.00913943026,84.0662007772056,1733.57068960696,1055.15951901608,507.753684511315,1083.37439175556,747.563231389988,770.246478873239,150.067864022953,398.71501376102,558.921505063829,59.1401029037791,1020.55432213708,414.38512132349,480.367670176319,1716.898121671,1214.62350043567,649.140300350763,573.301254682654,583.249314169148,411.462710663168,0,2692.29114163248,6.51020474593926,1110.94744513098,1.53630834322972,0.355052989883475,147.800485068613,395.904360014035,396.964019181301,42.7381679382063,0,481.369841033341,6.7777081179999,660.063558929214,0,519.389925351915,267.760065344275,166.781786778028,499.691645977957,719.702788350487,818.138648755342,32.5335502236682,1580.26101382851,60.7132944768249,939.21494050345,0
LDHA,80.1881442974201,127.491936135039,0,0,0,95.5651150165978,61.2257969714895,0,0,102.052439152056,0,113.972393813993,231.903939509001,145.055022478348,129.881632452506,0,302.095920663361,139.231799773123,192.498957297315,40.5899926595688,0,0,0,234.606650417423,0,138.04392306643,234.291668464958,762.019432851444,0,0,756.135357021178,124.950126441009,79.0691879354795,0,0,0,81.9751540760282,0,0,113.856614804537,531.642870925477,173.34067574563,0.674416157932078,0,42.354710108481,234.47208609815,77.9422755881772,0,0,0,0,99.8600423099318,137.050454095021,45.2049355927939,230.787849676428,132.3213397271,0,127.744802383353,0,0,0,293.571929245866,0,0,292.071519284449,0,0,0,8.13338755591704,9.84586301450788,0,0,5.64837722122434
