,HP1509101_A3,HP1509101_A7,HP1509101_A8,HP1509101_B10,HP1509101_B13,HP1509101_B16,HP1509101_B17,HP1509101_B19,HP1509101_B20,HP1509101_B23,HP1509101_C1,HP1509101_C21,HP1509101_C22,HP1509101_C23,HP1509101_D17,HP1509101_D18,HP1509101_D19,HP1509101_D22,HP1509101_D23,HP1509101_D5,HP1509101_D8,HP1509101_E19,HP1509101_E22,HP1509101_E3,HP1509101_E4,HP1509101_F18,HP1509101_F19,HP1509101_F21,HP1509101_F22,HP1509101_F23,HP1509101_F4,HP1509101_F7,HP1509101_G16,HP1509101_G18,HP1509101_G19,HP1509101_G9,HP1509101_H1,HP1509101_H13,HP1509101_H20,HP1509101_H21,HP1509101_H22,HP1509101_H23,HP1509101_H7,HP1509101_I10,HP1509101_I12,HP1509101_I17,HP1509101_I21,HP1509101_I23,HP1509101_I5,HP1509101_J12,HP1509101_J15,HP1509101_J16,HP1509101_J19,HP1509101_J20,HP1509101_J22,HP1509101_J23,HP1509101_J4,HP1509101_J8,HP1509101_J9,HP1509101_K10,HP1509101_K15,HP1509101_K19,HP1509101_K22,HP1509101_K9,HP1509101_L11,HP1509101_L13,HP1509101_L14,HP1509101_L16,HP1509101_L17,HP1509101_L18,HP1509101_L19,HP1509101_L23,HP1509101_L8,HP1509101_M10,HP1509101_M12,HP1509101_N17,HP1509101_N18,HP1509101_N20,HP1509101_N23,HP1509101_N9,HP1509101_O1,HP1509101_O13,HP1509101_O14,HP1509101_O16,HP1509101_O18,HP1509101_O4,HP1509101_O7,HP1509101_O9,HP1509101_P1,HP1509101_P12,HP1509101_P17,HP1509101_P18,HP1509101_P20,HP1509101_P23,HP1509101_P4,HP1509101_P7,HP1509101_P8,HP1509101_P9
ABCC8,1141.68284050691,983.251395717024,0,3705.5691466398,2812.19790842781,0,0,0,531.568154031665,17.1373731834384,2547.45572859107,0,2910.48484418258,2863.13321459972,13.9561497773994,3014.57370700575,1730.74816518786,486.517566232732,4.72346475586772,1701.58814893901,5674.01170599597,423.764725824222,1808.68799345727,58.6820022299161,574.855047326428,0,781.067165925579,1978.36227896289,0,0,635.623146099157,0,851.69807303311,1017.9778733866,306.036571370279,2462.92647516333,115.222860215467,57.375967502252,0,812.005086047361,705.01583623185,1777.65046842354,1078.84897974368,540.205278005642,0,0,245.566528618456,1283.60615674156,3414.69208385296,2426.43084672087,739.877707569714,2200.37789098563,1566.71795131903,2735.17402446766,0,0,420.825904775695,1090.23340475152,0,0,0,35.6493529642437,1005.1554748549,2182.69716429757,2964.7646072283,0,2861.45775375566,0,728.519391472038,0,1795.50405783917,263.283867879368,483.128066486432,4172.23944658476,804.131651074818,991.657456272414,2748.54510542993,1883.26609084704,3552.04074793915,1055.57280347718,990.197049212793,390.875841081051,3.60997146317558,2339.99455815219,869.205298013245,102.285512961848,381.224684298308,617.969170204731,2456.25841184388,137.531613169416,0,1869.84034932114,522.778192681105,961.511663554527,1274.17178833758,3608.62522116251,428.244318736893,148.222157565643
INS,33.5789070737326,99.9916673610532,0,58.4616491581523,156208.805694701,10.5280889412954,0,14.7494800808272,116.105675749022,119.961612284069,203800.20454571,108.902804247209,141.974870447931,307076.673354826,37.2163994063984,296802.048522723,65.7246138678935,117.943652420056,103.91622462909,133.457894034432,8.80260381020706,621.521597875526,237986.641921718,58.6820022299161,19.8225878388424,170.643610818805,84.8350105312427,341.232975334576,9.11947792812757,1.67190390565112,1294.78789020199,68.9639318636353,638.773554774832,672.249539028888,38.2545714212848,319998.962978326,153.630480287289,11.4751935004504,0,56.6515176312112,2025.58930591084,20.4604319317536,241.810978218411,60.0228086672936,1.56912711027982,4.01465079898242,245.566528618456,109.631842568674,0,34.4990167780218,25.5130243989557,23.9171509889742,21404.2977665816,0,30.7948141532966,193.867330123752,18.1000389150837,142.204357141503,27.7642812521691,72.0187510639134,128.299708118164,213.896117785462,64.8487403132194,316893.955792866,31.793722329526,33.6055381926942,183729.433272395,0,13327.6194557532,39.7224723266776,271.320613184586,119.674485399713,816.060879142886,1819.33145445442,0,7.21205422743574,50.2963044050687,332.34107485536,187722.002546746,248.370071406396,396.078819685117,69.7992573359019,160.643730111313,1166.97403029295,239610.927152318,90.9204559660867,333.57159876102,29.7540711580056,66487.2139973082,672.376775494923,64.8104941152071,223.869141024766,37.3412994772218,82453.1088877122,37.4756408334583,92568.4728466124,4.01479048815838,79.6007883222899
PDK4,0,16.6652778935089,91.3867946081791,1313.1385810908,0,10.5280889412954,8.56596034205103,44.2484402424815,1.39886356324122,0,52.4476179415808,0,94.6499136319538,90.1774240818811,0,13.5723678654586,219.082046226312,58.9718262100282,0,734.018417189377,2786.75765624805,423.764725824222,0,176.046006689748,0,0,0,29.5866741619575,21.8867470275062,5.85166366977892,1659.68265925891,114.939886439392,0,0,1109.38257121726,25.9255418438245,115.222860215467,349.993401763737,0,163.659939823499,0,14.442657834179,74.4033779133573,0,1.56912711027982,0,13.2738664118084,18.2719737614457,0,149.495739371428,374.191024518016,0,16.9070282516442,39.185874276041,0,0,9.05001945754183,237.007261902505,13.8821406260845,19.6414775628855,0,0,389.092441879316,0,683.56503008481,0,0,0,0,0,0,0,798.538099529388,136.332331212347,67.9547874147734,102.771772740959,5.91721228294926,146.515957731933,22.3398789178563,0,49.5098524606397,83.7591088030823,84.8343293846262,592.556761495904,0,22.7301139915217,142.959256611866,148.770355790028,6.72947510094213,35.6563441550338,0,479.719587910214,0,13.9349516457178,262.329485834208,0,2.67652699210558,30.1934024670755
CD44,154.46297253917,16.6652778935089,1599.26890564313,112.426248381062,87.8811846383689,821.190937421039,1.223708620293,1135.70996622369,53.1568154031665,428.434329585961,3.74625842439863,925.67383610128,23.6624784079885,90.1774240818811,386.120143841384,0,153.357432358418,44.2288696575211,2654.58719279766,0,578.771200521114,84.7529451648445,0,880.230033448741,0,938.539859503427,20.4774163351275,74.9529078769589,1076.09839551905,0,35.3123970055087,2574.65345624239,30.4177883226111,19.2071296865396,25.5030476141899,0,19.2038100359111,11.4751935004504,1451.99900583852,232.900683594979,0,8.42488373660444,111.605066870036,0,268.32073585785,0,53.0954656472337,18.2719737614457,59.3859492843993,114.996722593406,93.5477561295041,23.9171509889742,39.4497325871698,0,215.563699073076,1163.20398074251,0,151.684647617603,1068.92482820851,137.490342940198,384.899124354492,499.090941499412,0,0,385.498883245503,2016.33229156165,0,2658.75856427038,42.8540818512963,92.6857687622478,0,0,187.744067287474,9.40222973878255,158.561170634471,324.542440234608,0,468.136352753249,0,0,0,139.598514671804,402.511818144078,42.3254829639931,0,5.68252849788042,0,52.6418182026252,0,12.7344086267978,1082.33525172396,153.510268131268,0,69.6747582285889,299.805126667666,60.6883931114006,515.231445980325,757.579916446621
SOD2,26.863125658986,33.3305557870178,182.773589216358,4.49704993524248,0,526.404447064769,14.6845034435161,125.370580687031,0,68.5494927337538,29.9700673951891,108.902804247209,0,157.810492143292,23.260249628999,1.50804087393985,38.3393580896046,0,0,0,20.5394088904831,0,104.851477881581,0,0,142.203009015671,5.85069038146501,9.86222472065248,341.068474511971,30.0942703017201,11.7707990018362,45.9759545757569,0,0,0,0,115.222860215467,0,0,0,0,0,0,80.0304115563914,6.27650844111929,231.511529407986,99.5539980885632,0,0,22.9993445186812,0,23.9171509889742,78.8994651743396,7.83717485520819,61.5896283065932,516.979546996672,63.3501362027928,9.48029047610019,416.464218782536,6.54715918762849,256.599416236328,677.33770632063,0,0,3.97421529119075,386.463689215983,79.484937604324,51.1299723898149,0,59.5837084900164,0,0,55.0715930709923,0,0,0,29.5860614147463,0,0,0,0,0,247.283045227527,6.04649756628473,41.3907284768212,11.3650569957608,47.6530855372885,0,0,5.09376345071911,162.026235288018,0,0,27.8699032914356,18.7378204167291,60.6883931114006,49.5157493539533,123.518464638036
TMEM176B,1464.04034841474,1033.24722939755,91.3867946081791,1861.77867319039,0,0,73.4225172175803,191.743241050753,837.919274381493,102.824239100631,438.31223565464,0,3454.72184756631,22.5443560204703,0,40.7171035963759,1396.64804469274,235.887304840113,4.72346475586772,2302.14867209395,3365.52885676917,734.525524761985,0,0,218.048466227266,28.4406018031342,2466.0659957875,802.785092261112,476.036747848259,0,2448.32619238194,0,1034.20480296878,1248.46342962508,1683.20114253653,77.7766255314736,921.782881723734,97.5391447538284,0,2247.17686603804,2596.41783796564,923.126546567943,130.205911348375,880.334527120306,519.381073502621,2.67643386598828,1758.78729956462,1331.57008786535,2286.35904744937,1897.4459227912,1887.96380552272,215.254358900768,0,1089.36730487394,61.5896283065932,0,1000.02715005837,2076.18361426594,13.8821406260845,693.99887388862,0,285.19482371395,1686.0672481437,6.01293984654978,1502.25338007011,0,0,332.344820533797,899.935718877223,0,215.4604869407,287.218764959311,768.499048763392,1988.57158975251,1087.27659863637,1812.02862464323,1106.51869691151,2944.61339441738,0,1187.51940391183,841.667491830874,1437.86470111958,176.888601695604,1813.94926988542,82.7814569536424,301.174010387662,1000.71479628306,1370.97604797272,437.415881561238,331.094624296742,304.609322341474,3082.99788496964,2651.23226288275,13.9349516457178,2042.42242542347,0,463.039169634266,1232.43979161063
NCOA4,67.1578141474651,33.3305557870178,228.466986520448,26.9822996114549,43.9405923191845,100.016844942306,46.5009275711342,44.2484402424815,15.3874991956535,85.6868659171922,78.6714269123713,54.4514021236047,47.3249568159769,90.1774240818811,46.520499257998,52.7814305878947,71.2016650235513,29.4859131050141,56.6815770704127,33.364473508608,116.634500485244,56.5019634432297,26.2128694703952,234.728008919664,59.4677635165271,113.762407212537,38.0294874795226,43.3937887708709,43.7734940550123,78.5794835656026,82.3955930128537,183.903818303028,91.2533649678332,19.2071296865396,63.7576190354747,25.9255418438245,0,68.8511610027024,17.4414294995618,56.6515176312112,142.707133013698,28.8853156683581,37.2016889566786,140.053220223685,67.4724657420324,60.2197619847363,73.0062652649464,50.2479278439756,178.157847853198,45.9986890373624,29.7651951321149,47.8343019779484,84.535141258221,70.5345736968737,277.153327379669,0,27.1500583726255,9.48029047610019,55.5285625043382,91.6602286267988,96.224781088623,178.246764821219,32.4243701566097,78.1682180051471,0,168.027690963471,0,51.1299723898149,128.562245553889,125.787829034479,39.9000901742038,47.8697941598851,175.227796134975,28.2066892163477,0,7.21205422743574,11.8344245658985,17.8677997234065,22.3398789178563,69.8540825830487,0,0,104.689172432092,6.04649756628473,206.953642384106,73.8728704724454,47.6530855372885,36.6203952713915,87.4831763122477,28.0156989789551,97.2157411728107,19.1887835164085,37.3412994772218,55.7398065828712,74.9512816669165,163.391827607617,74.9427557789563,104.304481249897
PTPLAD1,94.0209398064512,199.983334722106,45.6933973040896,103.432148510577,395.46533087266,110.544933883601,68.5276827364083,191.743241050753,131.493174944675,0,250.999314434708,27.2257010618023,141.974870447931,112.721780102351,74.4327988127969,221.682008469158,5.47705115565779,58.9718262100282,325.919068154873,400.373682103296,114.433849532692,197.756872051304,256.886120809873,58.6820022299161,138.758114871897,113.762407212537,87.7603557219752,114.401806759569,21.8867470275062,35.1099820186735,211.874382033052,22.9879772878784,258.551200742194,57.6213890596189,165.769809492234,285.18096028207,115.222860215467,22.9503870009008,13.0810721246713,56.6515176312112,221.515549752605,63.7884054342907,223.210133740072,200.076028890979,91.0093723962297,58.8815450517422,146.012530529893,31.9759540825299,89.078923926599,103.497050334065,110.556439062141,119.585754944871,315.597860697359,117.557622828123,215.563699073076,290.800995185628,162.900350235753,85.3226142849017,124.939265634761,111.301706189684,64.149854059082,213.896117785462,129.697480626439,258.55641340164,162.942826938821,168.027690963471,158.969875208648,76.6949585847224,171.416327405185,39.7224723266776,103.74023445293,0,330.429558425954,155.136790689912,147.235372732009,126.210948980125,76.9237596783403,200.119356902152,312.758304849988,54.330953120149,148.529557381919,209.397772007706,104.689172432092,78.6044683617015,82.7814569536424,176.158383434293,142.959256611866,240.321343968506,188.42530282638,160.453548697652,64.8104941152071,40.5096540901958,298.730395817774,153.284468102896,18.7378204167291,438.823765574742,351.963299461884,82.345643092024
TPP1,873.051583917047,199.983334722106,137.080191912269,683.551590156857,659.108884787767,163.185378590078,394.034175734348,88.4968804849629,463.023839432845,154.236358650946,434.565977230241,190.579907432616,638.886917015688,586.153256532227,120.953298070795,297.08405216615,481.980501697886,176.915478630084,122.810083652561,200.186841051648,286.818174149247,593.270616153911,220.18810355132,117.364004459832,69.3790574359483,398.168425243878,547.039550666979,71.0080179886979,330.125100998218,536.681153714009,812.185131126701,459.759545757569,425.849036516555,76.8285187461586,153.018285685139,466.659753188842,710.540971328712,11.4751935004504,78.486432748028,484.685206400363,564.438660427312,128.780365688096,167.407600305054,460.174866449251,101.993262168188,384.068259769318,331.846660295211,296.919573623492,623.552467486193,850.975747191205,357.182341585379,406.591566812561,439.582734542749,815.066184941652,153.974070766483,323.11221687292,511.326099351114,540.376557137711,180.467828139099,510.678416635022,192.449562177246,356.493529642437,518.789922505755,366.789330639536,198.710764559538,184.830460059818,357.682219219458,204.51988955926,685.665309620741,410.465547375669,239.400541045223,239.348970799426,277.861219585461,263.262432685911,554.964097220649,299.300250438583,686.396624822114,146.515957731933,335.098183767844,597.640484321639,49.5098524606397,181.478069073345,220.208259253711,568.370771230765,455.298013245033,142.06321244701,142.959256611866,631.701818431503,457.604306864065,165.547312148371,311.090371752994,656.682813672648,616.13144137416,236.894177977202,318.542947084395,56.0200551797544,283.711861163192,112.539045559099
LDHA,107.452502635944,16.6652778935089,594.014164953164,17.9881997409699,0,447.443780005053,301.032320592079,597.3539432735,0,1662.32519879353,7.49251684879726,462.83691805064,212.962305671896,112.721780102351,930.409985159961,0,32.8623069339468,44.2288696575211,231.449773037518,100.093420525824,94.6279909597259,0,31.4554433644742,0,89.2016452747906,199.084212621939,26.3281067165926,0,536.225302173901,289.239375677644,11.7707990018362,183.903818303028,30.4177883226111,19.2071296865396,127.515238070949,0,403.280010754134,91.8015480036032,13.0810721246713,88.1245829818841,10.6497860457983,6.0177740975746,0,20.0076028890979,382.867014908277,293.069508325717,92.917064882659,34.2599508027106,0,0,106.304268328982,23.9171509889742,0,0,184.76888491978,355.423438560212,9.05001945754183,199.086099998104,610.81418754772,91.6602286267988,128.299708118164,106.948058892731,32.4243701566097,0,7.94843058238151,369.660920119636,39.742468802162,178.954903364352,42.8540818512963,317.779778613421,39.9000901742038,71.8046912398277,47.5618303794933,131.631216342956,135.909574829547,19.8331491254483,73.9651535368657,50.0298392255381,0,23.2846941943496,0,13.9598514671804,231.038173643237,48.3719805302778,0,45.4602279830433,0,0,47.1063257065949,28.0156989789551,408.306112925805,164.170703418162,18.6706497386109,278.699032914356,93.6891020836456,0,80.2958097631675,93.3250621709605
